imdb_id,en_name
tt6464678,Housewife
tt0071384,Daguerreotypes
tt0053740,The Concrete Jungle
tt0044060,Summer Interlude
tt0056138,Kid Galahad
tt8075260,Someone Great
tt0362270,The Life Aquatic with Steve Zissou
tt0063350,Night of the Living Dead
tt4385888,20th Century Women
tt7158430,Hearts Beat Loud
tt7715270,Adoration
tt0067541,Wake in Fright
tt0083190,Thief
tt1984153,Excision
tt0055230,Night Tide
tt0345549,Last Life in the Universe
tt4666726,Christine
tt0091495,Matador
tt9620292,Promising Young Woman
tt6688354,The Field Guide to Evil
tt2301592,The Dance of Reality
tt5340300,Lean on Pete
tt3824458,Tangerine
tt0119496,In the Presence of a Clown
tt0060647,Made in U.S.A
tt0067580,Pink Narcissus
tt0061620,Elvira Madigan
tt0066122,Deep End
tt1152850,Wendy and Lucy
tt0065649,Dodes'ka-den
tt2328813,Hard to Be a God
tt9056192,Zombi Child
tt0162677,Summer of Sam
tt0059170,"Faster, Pussycat! Kill! Kill!"
tt0066995,Diamonds Are Forever
tt9115530,The Eyes of Tammy Faye
tt0058888,Red Beard
tt0212772,The Annihilation of Fish
tt0054494,Zazie dans le Métro
tt1489167,Down Terrace
tt0189092,"Simon, the Magician"
tt0086153,First Name: Carmen
tt0059063,Man Is Not a Bird
tt7833606,Girls und Panzer das Finale: Part I
tt4460792,Calm with Horses
tt0018839,The Docks of New York
tt4638148,Dying to Play
tt6887624,Hanagatami
tt0055830,Carnival of Souls
tt0113083,The Flower of My Secret
tt0058985,Le Bonheur
tt1237838,Mystery Team
tt8725958,Hotel by the River
tt0047976,Dementia
tt3835080,31
tt0209463,The Wind Will Carry Us
tt0102116,The Indian Runner
tt11274100,Archenemy
tt0297884,Far from Heaven
tt0122571,The Arrival of Joachim Stiller
tt5825380,Wonder Wheel
tt2920808,God's Pocket
tt0468489,Half Nelson
tt2024417,Go Down Death
tt0071203,Belladonna of Sadness
tt2924442,The Pact II
tt1846472,Something in the Air
tt1179025,The Extraordinary Adventures of Adèle Blanc-Sec
tt1045658,Silver Linings Playbook
tt0088931,The Coca-Cola Kid
tt0023458,Shanghai Express
tt3284178,Arabian Nights: Volume 1 - The Restless One
tt0120399,U Turn
tt0087164,Dong dong de jiàqi
tt0071733,"Lacombe, Lucien"
tt4057376,I Am Dragon
tt0023196,Mata Hari
tt7983894,Ammonite
tt4334266,The Bad Batch
tt1588398,Sleeping Beauty
tt0074156,Assault on Precinct 13
tt0070040,The Spirit of the Beehive
tt6018306,Last Flag Flying
tt0071233,Blood for Dracula
tt0791303,A Summer in Genoa
tt1024715,Choke
tt2115295,Ginger & Rosa
tt0066516,Valerie and Her Week of Wonders
tt0097240,Drugstore Cowboy
tt1560139,Boy
tt0345061,Code 46
tt0770802,Samsara
tt5774450,Summer of 84
tt0082272,The Strange Case of Dr. Jekyll and Miss Osbourne
tt0063172,Destroy All Monsters
tt0077530,Eyes of Laura Mars
tt3115712,The Heart Machine
tt5827212,Let the Corpses Tan
tt0111112,The Secret of Roan Inish
tt2935476,Far from the Madding Crowd
tt0092637,The Belly of an Architect
tt0067647,The Canterbury Tales
tt1233219,"My Son, My Son, What Have Ye Done"
tt0082841,Olivia
tt1709143,The Last Days on Mars
tt9770150,Nomadland
tt9026184,Girl on the Third Floor
tt0085701,The Hunger
tt0381668,Tropical Malady
tt0063268,Mandabi
tt0096764,The Adventures of Baron Munchausen
tt4151212,T-Rex
tt2716382,Sea Fever
tt1361843,Van Diemen's Land
tt2359024,Blue Ruin
tt0058430,Onibaba
tt7472352,Shirkers
tt9016974,Synchronic
tt1674775,Keyhole
tt0076263,Killer of Sheep
tt2309224,Big Bad Wolves
tt5834262,Hotel Artemis
tt0085496,Dark Habits
tt7134096,The Rhythm Section
tt0067227,The Merchant of Four Seasons
tt0065436,Even Dwarfs Started Small
tt0063366,Nostra signora dei turchi
tt0093371,Kung-Fu Master!
tt9015178,The Return of Godzilla
tt0103030,High Heels
tt0104036,The Crying Game
tt0070544,Fantastic Planet
tt0054687,Blast of Silence
tt0012494,Der müde Tod
tt0952682,Shotgun Stories
tt0086961,No End
tt0063759,Hour of the Wolf
tt0117221,Nénette et Boni
tt0067979,Whity
tt0086542,Life Is a Bed of Roses
tt0091799,Psycho III
tt1945228,Voyage of Time: Life's Journey
tt0054099,Mill of the Stone Women
tt0073629,The Rocky Horror Picture Show
tt0057495,Shock Corridor
tt0120393,Twilight of the Ice Nymphs
tt0071222,Black Christmas
tt0082275,Documenteur
tt1714886,Post Mortem
tt1037223,Everyday
tt6135348,BPM (Beats Per Minute)
tt8759834,Selah and the Spades
tt0286261,All or Nothing
tt0093605,Near Dark
tt0099691,Graffiti Bridge
tt0109759,Exotica
tt0022235,The Threepenny Opera
tt2517658,The Canal
tt0047203,Magnificent Obsession
tt0449086,Dominion
tt1172206,Somers Town
tt0494222,Eagle vs Shark
tt0108394,Three Colors: Blue
tt9614440,Mickey and the Bear
tt2479800,Palo Alto
tt0086890,L'amour à mort
tt0057710,An Actor's Revenge
tt2920540,"20,000 Days on Earth"
tt4158096,Free Fire
tt0070290,The Last Detail
tt4326444,Julieta
tt3687938,Good Favour
tt7014006,Eighth Grade
tt3208026,Black '47
tt0410764,Tideland
tt2007360,Computer Chess
tt5765144,Song Of Granite
tt0102307,Light Sleeper
tt4726636,Slack Bay
tt4578118,Rupture
tt11196036,The Card Counter
tt5628902,Rabid
tt0369672,A Love Song for Bobby Long
tt0100469,The Reflecting Skin
tt0092076,The Texas Chainsaw Massacre 2
tt0047840,Artists and Models
tt5128826,The Alchemist Cookbook
tt5116410,Tower
tt5278592,Kate Plays Christine
tt0366943,Reconstruction
tt0017075,The Lodger: A Story of the London Fog
tt0272207,Narc
tt0107027,Godzilla vs. Mechagodzilla II
tt0806203,Carriers
tt3608930,In a Valley of Violence
tt11317142,Shiva Baby
tt4720702,Bushwick
tt1498569,Restless
tt2872462,Mistress America
tt0080149,Woyzeck
tt0046521,I Vitelloni
tt0441909,Volver
tt0094681,Ashik Kerib
tt0057336,Muriel
tt1368116,Merantau
tt5059406,I Am the Pretty Thing That Lives in the House
tt0078259,The Shout
tt1135092,The Limits of Control
tt0053318,"Suddenly, Last Summer"
tt0024188,Island of Lost Souls
tt3286052,The Blackcoat's Daughter
tt0064373,All Monsters Attack
tt0083335,The War of the Worlds: Next Century
tt0094002,Soigne ta droite
tt10329614,Censor
tt0047167,A Lesson in Love
tt0065531,Le Cercle Rouge
tt0066266,Quackser Fortune Has a Cousin in the Bronx
tt0062292,The Sorcerers
tt2304426,The Selfish Giant
tt6511932,The Beach Bum
tt0117364,The Portrait of a Lady
tt0098606,The Voice of the Moon
tt1029234,Martyrs
tt0057443,The Evil Eye
tt9784798,Judas and the Black Messiah
tt0108583,Wittgenstein
tt0085533,The Boys from Fengkuei
tt0099634,The Garden
tt0057128,The Haunted Palace
tt3068194,Love & Friendship
tt0056883,The Boom
tt9894470,VFW
tt0052556,The Lovers
tt0111341,Satantango
tt2763304,T2 Trainspotting
tt0066858,The Boy Friend
tt0013933,The Faithful Heart
tt0163988,Bringing Out the Dead
tt0171865,Wonderland
tt0078269,The Silent Partner
tt5225428,Kissing Candice
tt0070022,Electra Glide in Blue
tt0019130,The Man Who Laughs
tt0757361,Margot at the Wedding
tt2388637,Ain't Them Bodies Saints
tt0067134,The Fifth Cord
tt5777628,One More Time with Feeling
tt0462335,High-Rise
tt0069593,Shadowman
tt0068371,Godzilla vs. Gigan
tt0393956,Viva
tt0143348,Lone Wolf and Cub: Baby Cart in Peril
tt3975510,One and Two
tt4353250,The Last Black Man in San Francisco
tt1690389,Vous n'avez encore rien vu
tt0041796,Reign of Terror
tt0091355,The Terrorizers
tt0940585,Brick Lane
tt0016847,Faust
tt0072976,Fox and His Friends
tt0071406,Pastoral: To Die in the Country
tt3089904,Violet
tt0072288,Thunderbolt and Lightfoot
tt0075165,Satan's Brew
tt0126604,Pecker
tt0309530,Down with Love
tt8396294,Darlin'
tt0066319,Ryan's Daughter
tt0093412,Law of Desire
tt1441940,Broken
tt0062376,"To Sir, with Love"
tt0443455,Brand Upon the Brain!
tt0067961,Wanda
tt0067144,The Go-Between
tt0057603,Black Sabbath
tt1976000,The Two Faces of January
tt0085951,The Boxer's Omen
tt6443294,Blaze
tt2793490,Starry Eyes
tt0092048,Tampopo
tt0111127,Serial Mom
tt8972256,Greed
tt0051406,Bell Book and Candle
tt1531924,The Disappearance of Eleanor Rigby: Him
tt9892094,Mogul Mowgli
tt0254686,The Piano Teacher
tt5929754,Wildlife
tt0073152,Kings of the Road
tt0439581,The Ugly Swans
tt3721936,American Honey
tt7952920,Relaxer
tt2234003,Calvary
tt0041870,The Quiet Duel
tt0096438,Who Framed Roger Rabbit
tt0043614,The Idiot
tt0435625,The Descent
tt8767908,Matthias & Maxime
tt0022485,Tokyo Chorus
tt0101930,Chizuko's Younger Sister
tt1615147,Margin Call
tt0249241,Werckmeister Harmonies
tt1462900,The Grandmaster
tt0179116,But I'm a Cheerleader
tt3278330,Tale of Tales
tt0041699,Stray Dog
tt0015768,Master of the House
tt0070842,Turkish Delight
tt2084989,Upstream Color
tt5973032,Antiporno
tt0118636,Apt Pupil
tt3280262,Cult of Chucky
tt0068638,The Getaway
tt0078870,Black Jack
tt0063026,"Goto, l'île d'amour"
tt0057191,It Happened at the World's Fair
tt0059160,Eva
tt0808526,Life During Wartime
tt0097884,May Fools
tt2268732,Museum Hours
tt0362478,The Box
tt0061014,Dr. Goldfoot and the Girl Bombs
tt0111201,Sirens
tt0073008,The Fortune
tt0090563,Betty Blue
tt0081687,Union City
tt0087909,Phenomena
tt0082966,The House by the Cemetery
tt0095836,Patty Hearst
tt2092011,What Richard Did
tt0063013,The Girl on a Motorcycle
tt0116447,Gray's Anatomy
tt8233874,Extra Ordinary
tt4669986,Loving
tt1093842,My Winnipeg
tt1780967,Seberg
tt0068619,Ganja & Hess
tt0095037,"Distant Voices, Still Lives"
tt5649108,Thoroughbreds
tt4348012,Mayhem
tt0123450,Ben ming nian
tt9074574,Dogs Don't Wear Pants
tt1598642,Z for Zachariah
tt0059742,The Sound of Music
tt0065492,Brewster McCloud
tt5929750,Beatriz at Dinner
tt0069141,Four Times That Night
tt2153963,Tabu
tt0471030,Red Road
tt0103793,Benny's Video
tt3982118,Adam Green's Aladdin
tt0145937,Naqoyqatsi
tt9352926,The Sound of Silence
tt0075931,Demon Seed
tt0087075,The Company of Wolves
tt10481868,Black Christmas
tt1592281,Take This Waltz
tt1951216,The Look of Love
tt0009968,Broken Blossoms
tt0368774,The Heart Is Deceitful Above All Things
tt0074857,Man on the Roof
tt0446029,Scott Pilgrim vs. the World
tt0067656,A Bay of Blood
tt4692242,Arabian Nights: Volume 3 - The Enchanted One
tt0112688,Clockers
tt0037635,Dead of Night
tt0079271,Hardcore
tt0082926,Polyester
tt0063850,If....
tt0053390,Floating Weeds
tt0056905,Les Carabiniers
tt1424797,I Killed My Mother
tt0199626,In the Cut
tt0048272,Dreams
tt0039871,One Wonderful Sunday
tt6205872,Assassination Nation
tt9639470,Last Night in Soho
tt1754367,Post Tenebras Lux
tt6725014,Scenes from a Marriage
tt0093393,The Last of England
tt0080539,City of Women
tt0090848,The Clan of the Cave Bear
tt0071359,Immoral Tales
tt2570858,The Duke of Burgundy
tt0089114,Explorers
tt1922777,Sinister
tt5259822,Tesla
tt8745960,Daniel Isn't Real
tt0199898,Old Master Q 2001
tt0075612,Three Women
tt1045670,Happy-Go-Lucky
tt0047034,Godzilla
tt0079701,Graduate First
tt0119237,Gummo
tt0064536,Katzelmacher
tt0063633,The Cremator
tt8847712,The French Dispatch
tt0018526,Underworld
tt2364949,Touchy Feely
tt1235796,Ondine
tt0113409,In the Mouth of Madness
tt3289728,Equals
tt1327827,One Hundred Mornings
tt9595506,So Pretty
tt0104692,The Lawnmower Man
tt0057358,Winter Light
tt5314118,Journeyman
tt0080806,Golem
tt0477731,Syndromes and a Century
tt0067699,A Safe Place
tt0142257,Horrors of Malformed Men
tt6169694,I Think We're Alone Now
tt0275491,Bad Education
tt0106226,The Age of Innocence
tt2094064,Much Ado About Nothing
tt7328154,Holiday
tt2043933,Night Moves
tt0491747,Away from Her
tt0066214,Performance
tt0061912,"Love Affair, or The Case of the Missing Switchboard Operator"
tt0051365,The Magician
tt1971352,Compliance
tt3395582,Sun Choke
tt8338762,The Nest
tt0074851,The Man Who Fell to Earth
tt0062480,Weekend
tt0062861,Danger: Diabolik
tt0115736,Bound
tt0117107,Mulholland Falls
tt0060390,Fahrenheit 451
tt0068817,Lone Wolf and Cub: Baby Cart to Hades
tt7422822,Greener Grass
tt7262882,Master Z: The Ip Man Legacy
tt0098724,"Sex, Lies, and Videotape"
tt0071115,Alice Doesn't Live Here Anymore
tt8128188,High Flying Bird
tt1235841,Sidewalls
tt0055572,A Woman Is a Woman
tt0053772,The Devil's Eye
tt0059346,Invasion of Astro-Monster
tt0061648,Far from the Madding Crowd
tt0112604,Butterfly Kiss
tt4291590,Évolution
tt1274300,The Tempest
tt0079083,The Third Generation
tt0269587,Mysterious Object at Noon
tt0097814,Kiki's Delivery Service
tt0065143,The Bird with the Crystal Plumage
tt0377091,Mean Creek
tt4273292,Under the Shadow
tt0099053,Archangel
tt2258281,Beyond the Hills
tt2937898,A Most Violent Year
tt0116334,For Ever Mozart
tt3480822,Black Widow
tt4468634,Certain Women
tt0058409,Gate of Flesh
tt10539608,The Midnight Sky
tt0065119,A Quiet Place in the Country
tt0164085,Limbo
tt0118845,Happy Together
tt5666304,The Little Hours
tt7349910,Nightmare Cinema
tt0067975,What's the Matter with Helen?
tt0080923,Inferno
tt0056119,La Jetée
tt0080117,The Wanderers
tt0220627,Maelstrom
tt0411195,Breakfast on Pluto
tt0082661,Lili Marleen
tt1224366,Afterschool
tt0082427,The Funhouse
tt2195548,Prince Avalanche
tt0076740,Sorcerer
tt0047876,Il Bidone
tt6793280,The Devil's Doorway
tt0067805,Sunday Bloody Sunday
tt0192194,Julien Donkey-Boy
tt0049038,Bus Stop
tt0074147,Face to Face
tt0155711,Flawless
tt0097555,I Want to Go Home
tt0012364,The Phantom Carriage
tt10808832,Let Them All Talk
tt0042265,The Blue Lamp
tt4687856,Siberia
tt1595656,To the Wonder
tt7026488,Come True
tt5225338,The Eyes of My Mother
tt5657856,Brawl in Cell Block 99
tt0085426,The Last Battle
tt0110171,I Can't Sleep
tt0059229,Juliet of the Spirits
tt0110998,River of Grass
tt0109384,Down to Earth
tt0107468,M. Butterfly
tt2733258,The Strange Color of Your Body's Tears
tt0038675,Crisis
tt8299768,Blow the Man Down
tt0063991,Age of Consent
tt0059095,The 10th Victim
tt0106342,The Bride with White Hair
tt0085809,Koyaanisqatsi
tt0488905,The Banishment
tt9606374,On the Rocks
tt0077889,Magic
tt8893974,Passing
tt0047673,White Christmas
tt0783608,The Walker
tt2345737,The Rover
tt0097940,Mystery Train
tt0058567,Blood and Black Lace
tt0361668,Gozu
tt1318517,The Man Who Killed Don Quixote
tt0365737,Syriana
tt0060959,Daisies
tt0300214,Morvern Callar
tt5814592,The Party
tt5691670,Under the Silver Lake
tt0057490,The Servant
tt0072848,The Day of the Locust
tt0044811,Kvinnors väntan
tt0071362,The Body
tt0088919,Chronos
tt9000224,The Assistant
tt0036341,The Seventh Victim
tt0098327,The Seventh Continent
tt0073822,The Magic Flute
tt5563324,Intrusion
tt0084654,Veronika Voss
tt0096251,Tetsuo: The Iron Man
tt1659337,The Perks of Being a Wallflower
tt2639336,Greta
tt9231040,First Cow
tt4712076,The Long Dumb Road
tt0060794,"Kill, Baby... Kill!"
tt0068816,Lone Wolf and Cub: Baby Cart at the River Styx
tt0040622,Music in Darkness
tt0086994,Boy Meets Girl
tt0066491,Tristana
tt3066630,The Forbidden Room
tt0765120,My Blueberry Nights
tt5795086,Gemini
tt1748207,Sound of My Voice
tt0105569,Tetsuo II: Body Hammer
tt3463106,The Cured
tt5805752,Brigsby Bear
tt1650048,Laurence Anyways
tt0053279,Le signe du lion
tt5912454,Blue Jay
tt0039090,No Regrets for Our Youth
tt4645368,It's Only the End of the World
tt0087800,A Nightmare on Elm Street
tt1181614,Wuthering Heights
tt0082533,The Howling
tt0040418,Port of Call
tt0088196,Streetwise
tt0382189,My Summer of Love
tt0302674,Gerry
tt1176740,Away We Go
tt0093560,The Monster Squad
tt0086543,The 4th Man
tt0089173,Friday the 13th: A New Beginning
tt0082776,Ms .45
tt1742336,Your Sister's Sister
tt0064118,The Damned
tt1617620,A Horrible Way to Die
tt0104073,Deep Cover
tt1379182,Dogtooth
tt0038468,It Rains on Our Love
tt0067963,Wat zien ik
tt7137380,Destroyer
tt0068815,Lone Wolf and Cub: Sword of Vengeance
tt5662106,Lemonade
tt0034587,Cat People
tt0070948,Zardoz
tt9026524,Bliss
tt0054371,"The 1,000 Eyes of Dr. Mabuse"
tt5913798,Wounds
tt0067959,Walkabout
tt6294822,The Post
tt0089153,Flesh+Blood
tt0071565,Godzilla vs. Mechagodzilla
tt8332666,Tone-Deaf
tt1226681,Pontypool
tt0342735,Manderlay
tt0103767,Baraka
tt2243389,I'm So Excited!
tt5085924,Wildling
tt0067861,The Death of Maria Malibran
tt0067633,Punishment Park
tt0065955,A Love Story
tt6101602,Madeline's Madeline
tt7076834,Satan's Slaves
tt0093512,Maurice
tt0111149,Shallow Grave
tt0045891,How to Marry a Millionaire
tt4303340,I Am Not a Serial Killer
tt0092796,Creepshow 2
tt0052667,"Caltiki, the Immortal Monster"
tt6136430,Ferrante Fever
tt0096522,Ballet
tt0102943,Slacker
tt0088184,Stranger Than Paradise
tt0247425,In the Bedroom
tt0081554,Stardust Memories
tt0119223,Great Expectations
tt6803046,The Vast of Night
tt5112578,Super Dark Times
tt0422491,The Intruder
tt0061643,Fando and Lis
tt11140488,The Wolf of Snow Hollow
tt0113952,The Neon Bible
tt1233334,Pariah
tt5057140,Hold the Dark
tt2101383,Knight of Cups
tt0470705,Bug
tt0042200,Annie Get Your Gun
tt5700182,Starfish
tt0125108,Take Me Away!
tt0067236,The Iguana with the Tongue of Fire
tt0058333,The Masque of the Red Death
tt2392830,A Quiet Passion
tt0804461,Death Sentence
tt0073198,"Jeanne Dielman, 23, quai du commerce, 1080 Bruxelles"
tt3279176,Suburban Gothic
tt0112643,Castle Freak
tt9058654,Dinner in America
tt0048933,Street of Shame
tt1859446,Alps
tt1232776,Fish Tank
tt0083000,Road Games
tt1067765,Adult World
tt0362246,Tiresia
tt11908982,Jakob's Wife
tt2023690,Sightseers
tt0387564,Saw
tt0107175,"Oh, Woe Is Me"
tt5613484,Mid90s
tt0115734,Bottle Rocket
tt6910282,Bergman Island
tt0044391,The Bad and the Beautiful
tt5635086,God's Own Country
tt5536610,Private Life
tt0068883,Ludwig
tt0120834,Snow Falling on Cedars
tt0829193,Honeydripper
tt0063127,The Immortal Story
tt4411234,Slice
tt0062457,The Thief of Paris
tt0089366,Hail Mary
tt0015202,The Hands of Orlac
tt0091276,Invaders from Mars
