movie_name,year,link,imdb_id,imdb_name,imdb_year
The Blue Lagoon,1980,blu-ray/The-Blue-Lagoon/,tt0080453,Le lagon bleu (1980),1980
Blueberry,2004,blu-ray/Blueberry/,tt0276830,Blueberry : L'Expérience secrète (2004),2004
Bobby,2006,dvd/Bobby/,tt0415306,"Ricky Bobby, roi du circuit (2006)",2006
Bohemian Rhapsody,2018,blu-ray/Bohemian-Rhapsody/,tt1727824,Bohemian Rhapsody (2018),2018
Bonnie and Clyde,1967,blu-ray/Bonnie-and-Clyde/,tt0061418,Bonnie et Clyde (1967),1967
The Boy Friend,1971,blu-ray/The-Boy-Friend/,tt0066858,The Boy Friend (1971),1971
Branded to Kill,1967,blu-ray/Branded-to-Kill/,tt0061882,La Marque du tueur (1967),1967
Brokeback Mountain,2005,dvd/Brokeback-Mountain/,tt0388795,Le secret de Brokeback Mountain (2005),2005
Byzantium,2012,blu-ray/Byzantium/,tt1531901,Byzantium (2012),2012
Carol,2015,blu-ray/Carol/,tt2402927,Carol (2015),2015
Casino,1995,dvd/Casino/,tt0112641,Casino (1995),1995
Casino Royale,1967,blu-ray/Casino-Royale-1967/,tt0061452,Casino Royale (1967),1967
Casino Royale,2006,dvd/Casino-Royale/,tt0381061,Casino Royale (2006),2006
The Cell,2000,blu-ray/The-Cell/,tt0209958,The Cell (2000),2000
Center Stage,1991,blu-ray/Center-Stage/,tt0102816,Center Stage (1991),1991
Chinatown,1974,dvd/Chinatown/,tt0071315,Chinatown (1974),1974
A Christmas Story,1983,blu-ray/A-Christmas-Story/,tt0085334,Christmas Story (1983),1983
Chronos,1985,blu-ray/Chronos/,tt0088919,Chronos (1985),1985
Chungking Express,1994,blu-ray/Chungking-Express/,tt0109424,Chungking Express (1994),1994
City of God,2002,blu-ray/City-of-God/,tt0317248,La cité de Dieu (2002),2002
Climax,2018,blu-ray/Climax/,tt8359848,Climax (I) (2018),2018
Close Encounters of the Third Kind,1977,blu-ray/Close-Encounters-of-the-Third-Kind/,tt0075860,Rencontres du troisième type (1977),1977
The Color of Pomegranates,1969,blu-ray/The-Color-of-Pomegranates/,tt0063555,La couleur de la grenade (1969),1969
Contempt,1963,blu-ray/Contempt/,tt0057345,Le mépris (1963),1963
Crimes of Passion,1984,blu-ray/Crimes-of-Passion/,tt0087100,Les jours et les nuits de China Blue (1984),1984
The Curse of the Golden Flower,2006,blu-ray/The-Curse-of-the-Golden-Flower/,tt0473444,La Cité interdite (2006),2006
Da 5 Bloods,2020,blu-ray/Da-5-Bloods/,tt9777644,Da 5 Bloods: Frères de sang (2020),2020
Daisies,1966,blu-ray/Daisies/,tt0060959,Les petites marguerites (1966),1966
The Darjeeling Limited,2007,blu-ray/The-Darjeeling-Limited/,tt0838221,À bord du Darjeeling Limited (2007),2007
The Dark Knight,2008,blu-ray/The-Dark-Knight/,tt0468569,The Dark Knight : Le Chevalier noir (2008),2008
The Day of the Locust,1975,dvd/The-Day-of-the-Locust/,tt0072848,Le Jour du fléau (1975),1975
Days of Being Wild,1990,blu-ray/Days-of-Being-Wild/,tt0101258,Nos années sauvages (1990),1990
Days of Heaven,1978,dvd/Days-of-Heaven/,tt0077405,Les moissons du ciel (1978),1978
The Devil Wears Prada,2006,dvd/The-Devil-Wears-Prada/,tt0458352,Le diable s'habille en Prada (2006),2006
Diamonds Are Forever,1971,blu-ray/Diamonds-Are-Forever/,tt0066995,Les diamants sont éternels (1971),1971
Die Another Day,2002,blu-ray/Die-Another-Day/,tt0246460,Meurs un autre jour (2002),2002
Domino,2005,blu-ray/Domino/,tt0421054,Domino (2005),2005
Donkey Skin,1970,blu-ray/Donkey-Skin/,tt0066207,Peau d'âne (1970),1970
The Doors,1991,blu-ray/The-Doors/,tt0101761,Les Doors (1991),1991
Dorian Gray,2009,blu-ray/Dorian-Gray/,tt1235124,Dorian Gray (2009),2009
The Double Life of Véronique,1991,blu-ray/The-Double-Life-of-Veronique/,tt0101765,La double vie de Véronique (1991),1991
Dr. No,1962,blu-ray/Dr-No/,tt0055928,James Bond 007 contre Dr. No (1962),1962
Dracula,1992,blu-ray/Dracula/,tt0103874,Dracula (1992),1992
The Dreamers,2003,blu-ray/The-Dreamers/,tt0309987,Innocents (2003),2003
Dreams,1990,blu-ray/Dreams/,tt0100998,Rêves (Dreams) (1990),1990
Dune,2021,blu-ray/Dune/,tt1160419,Dune (2021),2021
