track_id;artists;name;popularity;release_date;release_date_precision;speechiness;instrumentalness
61Yh6AEwsba6RYsrWiNmI0;Charles Aznavour;Emmenez-moi;62;1967;year;0.0346;0.0
3uXVAyaaYadFSbbj1SQBK4;Marc Lavoine;Elle a les yeux revolver;50;1984;year;0.0566;9.45e-05
2F94KDtJjCdzZYCQWBliRC;Jacques Brel;Vesoul;54;1968;year;0.0607;7.09e-05
4VvTGipG8YaF09z0kfGqaD;Dalida, Alain Delon;Paroles paroles;58;1997-01-01;day;0.0463;0.0
496eQC5FPo3dmfNRXPcmps;Michel Berger;La groupie du pianiste - Remasterisé en 2002;56;1980-03-01;day;0.0306;0.0134
7xx7mUGAPcMd6gGqHzoec9;Charles Aznavour;For Me Formidable;59;1963;year;0.0335;0.0
1N4ixxhbBH1ClnPdTTsRzz;Christophe;Aline;58;2013-03-18;day;0.0332;1.92e-05
0PHjhFcDWWtZeQBWC12V4l;Eddy Mitchell;Couleur menthe à l'eau;54;1980;year;0.0309;0.0
67CfbIKKTCKFqmQLJwUftX;France Gall;Ella, elle l'a - Remasterisé en 2004;63;1987;year;0.0367;0.00164
6aV2qifrzZkfT2PW3gsWDE;Il Etait Une Fois;J'ai encore rêvé d'elle;50;1990;year;0.0276;0.000621
05ubSq0kbCEJ9phlfHRC4m;Daniel Balavoine;Le chanteur;10;1978;year;0.0358;0.000913
4YNig3AVQEPUjhJ7EcdTqH;Daniel Balavoine;L'Aziza;9;1985-01-01;day;0.03;0.000149
3cqLrAhTy0JYcYmGe6Dvje;Johnny Hallyday;Je te promets;62;1986-01-01;day;0.0418;0.0
4Qzdktws811tv59fMf7CBz;Serge Lama;Je suis malade;49;1973;year;0.0365;0.00035
51BbACodhBnd9lBs2TI0YT;France Gall;Résiste - Remasterisé en 2004;53;1981;year;0.0307;0.000211
0x8GIrcAO8msuslNoTKIXM;Florent Pagny;Savoir aimer;57;1997-01-01;day;0.0264;0.00122
57zabaqzfjZVhxJeb0UZsP;Johnny Hallyday;L'envie;58;1986-01-01;day;0.0699;0.0
40U2kuipBVRrReD32J2lmO;Francis Cabrel;Je l'aime à mourir - Remastered;60;1979;year;0.0341;0.0
7w0uMCTE1TBIGfUYIYYjuL;Michel Berger;Chanter pour ceux qui sont loin de chez eux - Remasterisé en 2002;46;1985-12-02;day;0.042;7.8e-05
1LMMoxkBJe9NfGEQikGK0B;Eddy Mitchell;La dernière séance;47;1977;year;0.0334;6.32e-05
7wOv0Qd3aKaDEw0QplvJzl;Michel Polnareff;Lettre à France;51;1978-01-01;day;0.0312;0.134
0cp8Fd3p8oMbTBv1s6MmrK;Patrick Bruel;Casser la voix;42;2004;year;0.0687;2.15e-06
5h15ZnuAT2kBMXYGl82p9z;Jean Ferrat;Aimer à perdre la raison;0;2002-10-10;day;0.03;2.09e-06
4hFPJKIKvgKpGlL3HvYecV;Eddy Mitchell;Pas de boogie woogie;50;1976;year;0.0701;0.000104
6DFzpa0eHyEkvQ2oeewmA2;Stephan Eicher;Déjeuner en paix;56;1991-01-01;day;0.0432;1.99e-06
5Z2h9F8vQPporYJmAHUPQd;Patrick Fiori, Jean-Jacques Goldman, Christine Ricol;4 mots sur un piano;55;2005-09-26;day;0.0326;1.86e-06
607sF1ISzfKaWa29eF3I14;Jacques Brel;Quand on n'a que l'amour - Arrangements différents;54;1988-01-01;day;0.0554;2.05e-05
39iS4EqzWlbJUCCmHZnv6i;Daniel Lavoie, Garou, Patrick Fiori;Belle - Extrait du spectacle «Notre Dame de Paris 1998» (Live);52;1998-11-21;day;0.0328;0.0
2xZfPZxInlDXDKc6NDts8Z;Édith Piaf;La foule;58;1986;year;0.0546;6.66e-06
5MtP6QGoOkA1L5ynZyQEiv;Francis Cabrel;La corrida - Remastered;56;1994;year;0.0431;0.00298
18efeGygYyi4nx3haDMdAa;Édith Piaf;Milord;53;1986;year;0.0381;0.0
4FmiciU3ZmfgABlbCSXcWw;Édith Piaf;La vie en rose;61;1986;year;0.0321;0.0
3xPNasHy69FFGxyxYApJPS;Mike Brant;Laisse moi t'aimer;48;1995-03-22;day;0.0278;0.0
6JCIbXPH5LIawW4NRLvYE8;Elsa;T'en va pas;50;2010-07-29;day;0.028;0.000165
