artist_id;name;popularity;genres
0PFtn5NtBbbUNbU9EAmIWF;TOTO;77;['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']
3iDD7bnsjL9J4fO298r0L0;Chicago;73;['adult standards', 'album rock', 'classic rock', 'folk rock', 'mellow gold', 'soft rock', 'yacht rock']
4lxfqrEsLX6N1N4OCSkILp;Phil Collins;80;['mellow gold', 'rock drums', 'soft rock']
3Z02hBLubJxuFJfhacLSDc;Bryan Adams;79;['canadian pop', 'canadian singer-songwriter', 'classic canadian rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock']
3CkvROUTQ6nRi9yQOcsB50;Genesis;72;['album rock', 'art rock', 'classic rock', 'mellow gold', 'progressive rock', 'rock', 'soft rock', 'symphonic rock']
7AC976RDJzL2asmZuz7qil;Yes;65;['album rock', 'art rock', 'classic rock', 'hard rock', 'jazz fusion', 'progressive rock', 'rock', 'symphonic rock']
7ai5TWiOG8g9Hds5AATS28;Marillion;61;['album rock', 'art rock', 'classic rock', 'neo-progressive', 'progressive rock', 'soft rock', 'symphonic rock']
2m62cc253Xvd9qYQ8d2X3d;The Alan Parsons Project;66;['album rock', 'art rock', 'classic rock', 'mellow gold', 'progressive rock', 'soft rock', 'symphonic rock']
3JsMj0DEzyWc0VDlHuy9Bx;Supertramp;73;['album rock', 'art rock', 'classic rock', 'glam rock', 'mellow gold', 'piano rock', 'progressive rock', 'rock', 'soft rock']
0Ty63ceoRnnJKVEYP0VQpk;Sting;75;['permanent wave', 'soft rock', 'sophisti-pop']
1fa0cOhromAZdq2xRA4vv8;Simply Red;71;['british soul', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'sophisti-pop']
4NgfOZCL9Ml67xzM0xzIvC;Janis Joplin;68;['blues rock', 'classic rock', 'psychedelic rock', 'rock']
776Uo845nYHJpNaStv1Ds4;Jimi Hendrix;76;['acid rock', 'album rock', 'blues rock', 'classic rock', 'psychedelic rock', 'rock']
22bE4uQ6baNwSHPVcDxLCe;The Rolling Stones;83;['british invasion', 'classic rock', 'rock']
0k17h0D3J5VfsdmQ1iZtE9;Pink Floyd;83;['album rock', 'art rock', 'classic rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']
6w6z8m4WXX7Tub4Rb6Lu7R;Jethro Tull;63;['album rock', 'art rock', 'blues rock', 'classic rock', 'flute rock', 'hard rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']
6ZLTlhejhndI4Rh53vYhrY;Ozzy Osbourne;76;['album rock', 'birmingham metal', 'hard rock', 'metal', 'rock']
